sutun,eksik_sayi,eksik_yuzde
referee,86269,83.91
odds_over_25,75440,73.37
odds_under_25,75440,73.37
away_fouls,44760,43.53
home_fouls,44760,43.53
away_shots_target,43852,42.65
home_shots_target,43852,42.65
home_corners,43421,42.23
away_corners,43421,42.23
home_shots,43046,41.87
away_shots,43046,41.87
home_yellow,43029,41.85
home_red,43028,41.85
away_red,43029,41.85
away_yellow,43028,41.85
odds_draw,23007,22.38
odds_home,23007,22.38
odds_away,23007,22.38
ht_away_goals,16252,15.81
ht_home_goals,16252,15.81
away_team,291,0.28
home_team,291,0.28
league,0,0.0
date,0,0.0
away_goals,0,0.0
home_goals,0,0.0
season,0,0.0
source,0,0.0
