sutun,count,mean,std,min,25%,50%,75%,max
odds_home,55362.0,2.723,1.926,1.02,1.7,2.15,2.9,34.0
odds_draw,55362.0,3.936,1.227,1.4,3.3,3.5,4.0,21.0
odds_away,55362.0,4.525,3.703,1.05,2.4,3.4,5.0,51.0
home_shots,55362.0,13.437,5.32,0.0,10.0,13.0,17.0,46.0
away_shots,55362.0,10.922,4.708,0.0,8.0,10.0,14.0,45.0
home_shots_target,55362.0,5.107,2.781,0.0,3.0,5.0,7.0,31.0
away_shots_target,55362.0,4.112,2.452,0.0,2.0,4.0,6.0,23.0
home_corners,55362.0,5.59,2.993,0.0,3.0,5.0,7.0,26.0
away_corners,55362.0,4.489,2.637,0.0,3.0,4.0,6.0,23.0
home_fouls,55362.0,13.228,4.591,0.0,10.0,13.0,16.0,48.0
away_fouls,55362.0,13.595,4.686,0.0,10.0,13.0,16.0,41.0
home_yellow,55362.0,1.866,1.36,0.0,1.0,2.0,3.0,10.0
away_yellow,55362.0,2.15,1.409,0.0,1.0,2.0,3.0,10.0
home_red,55362.0,0.098,0.318,0.0,0.0,0.0,0.0,3.0
away_red,55362.0,0.126,0.357,0.0,0.0,0.0,0.0,4.0
implied_prob_home,55362.0,0.443,0.179,0.027,0.325,0.434,0.558,0.926
implied_prob_draw,55362.0,0.253,0.049,0.045,0.234,0.269,0.287,0.655
implied_prob_away,55362.0,0.303,0.163,0.019,0.188,0.277,0.39,0.892
shots_diff,55362.0,2.515,7.965,-42.0,-3.0,2.0,8.0,42.0
shots_target_diff,55362.0,0.995,3.865,-23.0,-1.0,1.0,3.0,29.0
corners_diff,55362.0,1.101,4.434,-22.0,-2.0,1.0,4.0,26.0
