ozellik,anova_f,rf_onem,anova_norm,rf_norm,birlesik_skor
shots_target_diff,8883.3516,0.0909,1.0,1.0,1.0
implied_prob_home,6076.3496,0.075,0.6829,0.8064,0.7446
implied_prob_away,6008.0279,0.0744,0.6752,0.7994,0.7373
odds_home,4043.5178,0.0557,0.4532,0.5701,0.5116
away_shots_target,4623.7323,0.0465,0.5188,0.4589,0.4888
home_shots_target,4326.0841,0.048,0.4851,0.477,0.481
odds_away,3658.7267,0.0511,0.4097,0.5148,0.4623
shots_diff,2044.8486,0.0526,0.2274,0.5322,0.3798
implied_prob_draw,1023.1957,0.0613,0.112,0.6391,0.3756
away_shots,1443.1109,0.0458,0.1594,0.4492,0.3043
home_shots,1125.2597,0.0475,0.1235,0.4704,0.297
away_fouls,62.4892,0.051,0.0034,0.5132,0.2583
corners_diff,50.029,0.0501,0.002,0.5018,0.2519
home_fouls,32.0801,0.0501,0.0,0.5027,0.2513
odds_draw,1000.6317,0.0356,0.1094,0.3259,0.2177
home_corners,40.3319,0.0419,0.0009,0.4023,0.2016
away_corners,34.4075,0.0385,0.0003,0.3604,0.1803
home_yellow,319.2531,0.0321,0.0324,0.2822,0.1573
away_yellow,79.8514,0.0337,0.0054,0.3021,0.1537
home_red,548.8823,0.0089,0.0584,0.0,0.0292
away_red,379.4803,0.0093,0.0392,0.0046,0.0219
